Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
256,Cameron Johnson_19/20,PF,23,PHO,57,9,1255.0,6.6,15.3,0.435,4.0,10.3,0.39,2.6,5.0,0.526,1.7,2.2,0.807,1.8,5.2,7.1,2.6,1.4,0.8,1.2,3.3,19.0,117.0,113
261,Nikola Jokić_19/20,C,24,DEN,73,73,2336.0,12.0,22.7,0.528,1.7,5.4,0.314,10.3,17.3,0.594,5.2,6.4,0.817,3.5,11.5,15.0,10.8,1.8,0.9,4.8,4.7,30.8,119.0,108
262,Damian Jones_19/20,C,24,ATL,55,27,887.0,6.4,9.4,0.68,0.1,0.5,0.222,6.3,8.9,0.704,3.3,4.4,0.738,3.9,6.9,10.8,1.8,1.4,2.1,1.5,7.8,16.1,138.0,113
263,Derrick Jones Jr._19/20,SF,22,MIA,59,16,1375.0,6.5,12.4,0.527,1.3,4.7,0.28,5.2,7.7,0.677,3.4,4.4,0.772,2.3,5.9,8.3,2.2,2.1,1.3,1.1,4.6,17.7,126.0,109
264,Tyus Jones_19/20,PG,23,MEM,65,6,1232.0,7.5,16.3,0.459,1.8,4.7,0.379,5.7,11.6,0.492,1.6,2.2,0.741,0.3,3.6,3.9,10.8,2.2,0.2,2.1,1.7,18.3,116.0,112
265,DeAndre Jordan_19/20,C,31,BRK,56,6,1234.0,7.3,11.0,0.666,0.0,0.0,,7.3,11.0,0.666,3.2,4.7,0.68,5.4,16.1,21.5,4.0,0.7,2.0,2.8,4.4,17.8,129.0,104
266,Cory Joseph_19/20,PG,28,SAC,72,26,1759.0,4.7,11.4,0.415,1.5,4.4,0.352,3.2,7.0,0.455,1.7,1.9,0.857,1.2,4.0,5.2,6.9,1.5,0.6,2.2,3.7,12.6,110.0,114
268,Frank Kaminsky_19/20,C,26,PHO,39,13,777.0,8.4,18.7,0.45,2.5,7.6,0.331,5.9,11.2,0.53,3.7,5.5,0.678,2.1,8.6,10.7,4.6,0.9,0.6,2.3,4.6,23.0,110.0,112
269,Enes Kanter_19/20,C,27,BOS,58,7,983.0,9.8,17.1,0.572,0.0,0.3,0.143,9.7,16.7,0.581,3.4,4.9,0.707,8.0,13.2,21.2,2.7,1.1,2.0,2.7,4.9,23.0,123.0,104
270,Luke Kennard_19/20,SG,23,DET,28,25,922.0,8.1,18.2,0.442,3.9,9.8,0.399,4.2,8.5,0.491,3.6,4.0,0.893,0.5,4.7,5.2,6.1,0.6,0.3,2.3,3.5,23.6,117.0,117
274,Maxi Kleber_19/20,PF,28,DAL,74,21,1890.0,6.1,13.1,0.461,3.0,8.2,0.373,3.0,5.0,0.605,2.0,2.4,0.849,2.9,7.1,9.9,2.3,0.6,2.1,1.5,4.5,17.2,122.0,112
276,Kevin Knox_19/20,SF,20,NYK,65,4,1166.0,6.0,16.7,0.359,2.7,8.3,0.327,3.3,8.4,0.391,2.8,4.2,0.653,1.2,6.5,7.7,2.5,1.0,1.2,1.9,4.4,17.5,97.0,114
278,Furkan Korkmaz_19/20,SG,22,PHI,72,12,1559.0,7.5,17.5,0.43,4.4,11.1,0.402,3.1,6.4,0.478,2.4,3.2,0.755,0.6,4.7,5.2,2.5,1.3,0.5,1.8,3.0,21.9,111.0,112
279,Luke Kornet_19/20,C,24,CHI,36,14,559.0,7.1,16.1,0.439,2.7,9.3,0.287,4.4,6.8,0.646,1.7,2.4,0.714,1.9,5.3,7.2,2.8,0.9,2.2,1.2,4.7,18.5,112.0,111
280,Kyle Korver_19/20,SF,38,MIL,58,1,960.0,6.0,13.9,0.43,4.7,11.3,0.418,1.3,2.7,0.482,1.7,2.0,0.854,0.7,5.1,5.8,3.2,1.2,0.6,2.3,3.7,18.4,113.0,106
281,Rodions Kurucs_19/20,PF,21,BRK,47,9,684.0,5.5,12.2,0.446,2.3,6.2,0.367,3.2,6.0,0.529,1.7,2.6,0.632,1.7,7.7,9.5,3.5,1.7,0.3,3.2,6.2,14.9,101.0,109
282,Kyle Kuzma_19/20,PF,24,LAL,61,9,1526.0,9.1,20.8,0.436,2.7,8.5,0.316,6.4,12.3,0.518,3.6,4.8,0.735,1.6,6.9,8.5,2.5,0.9,0.8,2.8,3.9,24.4,103.0,109
283,Skal Labissière_19/20,C,23,POR,33,1,567.0,6.8,12.4,0.551,0.3,1.1,0.231,6.6,11.3,0.582,2.1,2.8,0.758,5.5,8.7,14.2,3.5,0.6,2.6,2.5,7.5,16.0,121.0,113
284,Jeremy Lamb_19/20,SG,27,IND,46,42,1291.0,8.1,18.0,0.451,2.0,5.9,0.335,6.1,12.1,0.508,3.5,4.1,0.836,0.9,6.6,7.5,3.6,2.1,0.8,1.9,3.9,21.7,108.0,107
286,Zach LaVine_19/20,SG,24,CHI,60,60,2085.0,12.5,27.7,0.45,4.3,11.2,0.38,8.2,16.5,0.497,6.2,7.7,0.802,0.9,5.7,6.7,5.9,2.0,0.6,4.8,3.0,35.3,106.0,110
292,Damion Lee_19/20,SG,27,GSW,49,36,1423.0,7.2,17.2,0.417,2.9,8.0,0.356,4.3,9.1,0.471,3.7,4.2,0.873,1.1,7.0,8.0,4.5,1.7,0.2,2.3,3.9,20.9,108.0,114
293,Alex Len_19/20,C,26,ATL,40,9,745.0,8.9,16.3,0.546,0.9,3.5,0.25,8.0,12.8,0.627,3.2,5.1,0.63,4.3,10.1,14.4,2.6,1.3,2.1,2.4,5.8,21.8,115.0,112
294,Kawhi Leonard_19/20,SF,28,LAC,57,57,1848.0,13.6,29.0,0.47,3.1,8.3,0.378,10.5,20.7,0.506,9.1,10.3,0.886,1.4,8.9,10.3,7.2,2.6,0.8,3.8,2.9,39.5,117.0,104
295,Meyers Leonard_19/20,C,27,MIA,51,49,1034.0,5.6,11.0,0.509,2.5,6.0,0.414,3.1,5.0,0.623,0.8,1.3,0.643,1.4,10.9,12.3,2.6,0.7,0.7,1.8,5.1,14.6,114.0,110
296,Caris LeVert_19/20,SG,25,BRK,45,31,1330.0,11.1,26.0,0.425,2.8,7.8,0.364,8.2,18.2,0.451,5.0,7.0,0.711,1.7,5.0,6.7,7.1,1.9,0.4,4.2,2.9,30.0,102.0,110
297,Damian Lillard_19/20,PG,29,POR,66,66,2474.0,12.0,26.0,0.463,5.2,13.0,0.401,6.8,13.0,0.524,8.9,10.0,0.888,0.6,4.8,5.5,10.2,1.3,0.4,3.7,2.2,38.1,126.0,117
298,Nassir Little_19/20,PF,19,POR,48,5,573.0,5.4,12.6,0.43,1.2,4.9,0.237,4.2,7.7,0.554,2.3,3.7,0.636,2.6,6.4,9.0,1.8,1.1,1.2,1.2,6.0,14.3,108.0,116
300,Brook Lopez_19/20,C,31,MIL,68,67,1817.0,7.3,16.9,0.435,2.6,8.2,0.314,4.8,8.7,0.549,3.2,3.8,0.836,1.5,6.4,7.8,2.5,1.2,4.1,1.8,4.1,20.4,109.0,100
301,Robin Lopez_19/20,C,31,MIL,66,5,958.0,7.0,14.3,0.492,1.7,5.0,0.333,5.3,9.2,0.577,1.3,2.5,0.528,2.7,5.0,7.7,2.1,0.5,2.1,3.0,4.6,17.0,101.0,105
302,Kevin Love_19/20,PF,31,CLE,56,56,1780.0,8.9,19.9,0.45,4.0,10.7,0.374,4.9,9.2,0.537,5.1,6.0,0.854,1.5,13.5,15.0,4.9,0.9,0.5,3.8,2.5,27.0,112.0,113
303,Kyle Lowry_19/20,PG,33,TOR,58,58,2098.0,7.6,18.2,0.416,3.7,10.6,0.352,3.9,7.6,0.504,6.7,7.8,0.857,0.7,5.9,6.6,9.8,1.9,0.6,4.0,4.3,25.5,116.0,106
304,Timothé Luwawu-Cabarrot_19/20,SF,24,BRK,47,2,853.0,6.5,14.9,0.435,3.4,8.9,0.388,3.1,6.0,0.505,3.8,4.5,0.852,1.6,5.4,7.0,1.6,1.0,0.4,2.1,5.9,20.2,114.0,112
